Exercise_Name,Exercise_Image,Exercise_Image1,muscle_gp_details,muscle_gp,equipment_details,Equipment,Rating,Description
Triceps dip,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.4,"A moderately rated exercise targeting the Triceps using body only. Triceps dip is designed to improve strength, flexibility, and endurance."
Barbell Full Squat,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.4,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Barbell deficit deadlift,,,https://www.bodybuilding.com/exercises/muscle/lower-back,Back,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.4,"Stand with feet hip-width, grip the bar outside your knees, lift by pushing through heels, keeping the bar close to your body."
Barbell Deadlift,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.4,"Stand with feet hip-width, grip the bar outside your knees, lift by pushing through heels, keeping the bar close to your body."
Single-arm palm-in dumbbell shoulder press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.4,"A moderately rated exercise targeting the Shoulders using dumbbell. Single-arm palm-in dumbbell shoulder press is designed to improve strength, flexibility, and endurance."
Romanian Deadlift With Dumbbells,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Legs,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.4,"Stand with feet hip-width, grip the bar outside your knees, lift by pushing through heels, keeping the bar close to your body."
Tire flip,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/other,Other,9.4,"A moderately rated exercise targeting the Quadriceps using other. Tire flip is designed to improve strength, flexibility, and endurance."
Clean Deadlift,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.4,"Stand with feet hip-width, grip the bar outside your knees, lift by pushing through heels, keeping the bar close to your body."
Elbow plank,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.3,"Face down, prop yourself on elbows and toes. Keep your body in a straight line, abs engaged, and hold for time."
Bottoms Up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.3,"A moderately rated exercise targeting the Abdominals using body only. Bottoms Up is designed to improve strength, flexibility, and endurance."
Barbell back squat to box,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72e-barbell-back-squat-to-box-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Clean and jerk,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26b-clean-and-jerk-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,"A moderately rated exercise targeting the Shoulders using barbell. Clean and jerk is designed to improve strength, flexibility, and endurance."
Single-arm kettlebell push-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m2-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/kettlebells,Kettlebells,9.3,"A moderately rated exercise targeting the Shoulders using kettlebells. Single-arm kettlebell push-press is designed to improve strength, flexibility, and endurance."
Push-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-39b-push-press-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,"A moderately rated exercise targeting the Quadriceps using barbell. Push-press is designed to improve strength, flexibility, and endurance."
Suspended ab fall-out,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-158s-suspended-ab-fall-out-m2-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,9.3,"A moderately rated exercise targeting the Abdominals using other. Suspended ab fall-out is designed to improve strength, flexibility, and endurance."
Military press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,"A moderately rated exercise targeting the Shoulders using barbell. Military press is designed to improve strength, flexibility, and endurance."
Power snatch-,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,"A moderately rated exercise targeting the Quadriceps using barbell. Power snatch- is designed to improve strength, flexibility, and endurance."
Sumo deadlift,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,"Stand with feet hip-width, grip the bar outside your knees, lift by pushing through heels, keeping the bar close to your body."
Hang Clean,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,"A moderately rated exercise targeting the Quadriceps using barbell. Hang Clean is designed to improve strength, flexibility, and endurance."
Dumbbell V-Sit Cross Jab,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.3,"A moderately rated exercise targeting the Abdominals using dumbbell. Dumbbell V-Sit Cross Jab is designed to improve strength, flexibility, and endurance."
Reverse Band Box Squat,https://www.bodybuilding.com/exercises/exerciseImages/sequences/753/Male/m/753_2.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/finder,,9.3,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Standing palms-in shoulder press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.3,"A moderately rated exercise targeting the Shoulders using dumbbell. Standing palms-in shoulder press is designed to improve strength, flexibility, and endurance."
Standing cable low-to-high twist,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.3,"A moderately rated exercise targeting the Abdominals using cable. Standing cable low-to-high twist is designed to improve strength, flexibility, and endurance."
Decline EZ-bar skullcrusher,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/ez-curl-bar,E-Z Curl Bar,9.3,"A moderately rated exercise targeting the Triceps using e-z curl bar. Decline EZ-bar skullcrusher is designed to improve strength, flexibility, and endurance."
Wide-grip barbell curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.3,"A moderately rated exercise targeting the Biceps using barbell. Wide-grip barbell curl is designed to improve strength, flexibility, and endurance."
Dumbbell spell caster,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.3,"A moderately rated exercise targeting the Abdominals using dumbbell. Dumbbell spell caster is designed to improve strength, flexibility, and endurance."
Dumbbell floor press,,,https://www.bodybuilding.com/exercises/muscle/triceps,Triceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.3,"A moderately rated exercise targeting the Triceps using dumbbell. Dumbbell floor press is designed to improve strength, flexibility, and endurance."
Pullups,,,https://www.bodybuilding.com/exercises/muscle/lats,Back,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.2,"A moderately rated exercise targeting the Lats using body only. Pullups is designed to improve strength, flexibility, and endurance."
Decline reverse crunch,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,9.2,"A moderately rated exercise targeting the Abdominals using other. Decline reverse crunch is designed to improve strength, flexibility, and endurance."
Dumbbell Bench Press,,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.2,"Lie on a bench, grip the barbell wider than shoulder-width, lower it to mid-chest, and press up until arms are extended."
Jumping rope,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.2,"A moderately rated exercise targeting the Quadriceps using body only. Jumping rope is designed to improve strength, flexibility, and endurance."
Seated barbell shoulder press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.2,"A moderately rated exercise targeting the Shoulders using barbell. Seated barbell shoulder press is designed to improve strength, flexibility, and endurance."
EZ-bar spider curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18n-barbell-spider-curl-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.2,"A moderately rated exercise targeting the Biceps using barbell. EZ-bar spider curl is designed to improve strength, flexibility, and endurance."
Smith machine shrug,,,https://www.bodybuilding.com/exercises/muscle/traps,Shoulders,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.2,"A moderately rated exercise targeting the Traps using machine. Smith machine shrug is designed to improve strength, flexibility, and endurance."
Smith Machine Calf Raise,,,https://www.bodybuilding.com/exercises/muscle/calves,Legs,https://www.bodybuilding.com/exercises/equipment/machine,Machine,9.2,"A moderately rated exercise targeting the Calves using machine. Smith Machine Calf Raise is designed to improve strength, flexibility, and endurance."
Romanian Deadlift from Deficit,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.2,"Stand with feet hip-width, grip the bar outside your knees, lift by pushing through heels, keeping the bar close to your body."
Power Snatch,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.2,"A moderately rated exercise targeting the Hamstrings using barbell. Power Snatch is designed to improve strength, flexibility, and endurance."
Pushups,,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.2,"A moderately rated exercise targeting the Chest using body only. Pushups is designed to improve strength, flexibility, and endurance."
Barbell walking lunge,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.2,"A moderately rated exercise targeting the Quadriceps using barbell. Barbell walking lunge is designed to improve strength, flexibility, and endurance."
Front Squats With Two Kettlebells,https://www.bodybuilding.com/exercises/exerciseImages/sequences/511/Male/m/511_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/511/Male/m/511_2.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/kettlebells,Kettlebells,9.2,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Spider crawl,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.2,"A moderately rated exercise targeting the Abdominals using body only. Spider crawl is designed to improve strength, flexibility, and endurance."
Power Clean from Blocks,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.2,"A moderately rated exercise targeting the Hamstrings using barbell. Power Clean from Blocks is designed to improve strength, flexibility, and endurance."
Single Leg Push-off,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/other,Other,9.2,"A moderately rated exercise targeting the Quadriceps using other. Single Leg Push-off is designed to improve strength, flexibility, and endurance."
Hip Circles (Prone),,,https://www.bodybuilding.com/exercises/muscle/abductors,Legs,https://www.bodybuilding.com/exercises/finder,,9.2,"A moderately rated exercise targeting the Abductors using nan. Hip Circles (Prone) is designed to improve strength, flexibility, and endurance."
Reverse-grip bent-over row,,,https://www.bodybuilding.com/exercises/muscle/middle-back,Back,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.2,"A moderately rated exercise targeting the Middle Back using barbell. Reverse-grip bent-over row is designed to improve strength, flexibility, and endurance."
Back extension,,,https://www.bodybuilding.com/exercises/muscle/lower-back,Back,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.1,"A moderately rated exercise targeting the Lower Back using body only. Back extension is designed to improve strength, flexibility, and endurance."
Close-grip bench press,,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.1,"Lie on a bench, grip the barbell wider than shoulder-width, lower it to mid-chest, and press up until arms are extended."
Cocoons,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.1,"A moderately rated exercise targeting the Abdominals using body only. Cocoons is designed to improve strength, flexibility, and endurance."
Cross-Body Crunch,,,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.1,"A moderately rated exercise targeting the Abdominals using body only. Cross-Body Crunch is designed to improve strength, flexibility, and endurance."
Dumbbell Flyes,,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,"A moderately rated exercise targeting the Chest using dumbbell. Dumbbell Flyes is designed to improve strength, flexibility, and endurance."
Hammer Curls,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-7d-hammer-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-7d-hammer-curl-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,"A moderately rated exercise targeting the Biceps using dumbbell. Hammer Curls is designed to improve strength, flexibility, and endurance."
Incline dumbbell bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3n-incline-dumbbell-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3n-incline-dumbbell-bench-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,"Lie on a bench, grip the barbell wider than shoulder-width, lower it to mid-chest, and press up until arms are extended."
Low-cable cross-over,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5c-low-cable-cross-over-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5c-low-cable-cross-over-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.1,"A moderately rated exercise targeting the Chest using cable. Low-cable cross-over is designed to improve strength, flexibility, and endurance."
Single-arm high-cable side bend,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-107c-single-arm-high-cable-side-bend-m1-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-107c-single-arm-high-cable-side-bend-m2-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/cable,Cable,9.1,"A moderately rated exercise targeting the Abdominals using cable. Single-arm high-cable side bend is designed to improve strength, flexibility, and endurance."
Seated Dumbbell Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,"A moderately rated exercise targeting the Shoulders using dumbbell. Seated Dumbbell Press is designed to improve strength, flexibility, and endurance."
Standing dumbbell shoulder press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,"A moderately rated exercise targeting the Shoulders using dumbbell. Standing dumbbell shoulder press is designed to improve strength, flexibility, and endurance."
Single Leg Push-off,https://www.bodybuilding.com/exercises/exerciseImages/sequences/818/Male/m/818_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/818/Male/m/818_2.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/other,Other,9.2,"A moderately rated exercise targeting the Quadriceps using other. Single Leg Push-off is designed to improve strength, flexibility, and endurance."
Hip Circles (Prone),https://www.bodybuilding.com/images/2020/may/874_1.jpg,https://www.bodybuilding.com/images/2020/may/874_2.jpg,https://www.bodybuilding.com/exercises/muscle/abductors,Legs,https://www.bodybuilding.com/exercises/finder,,9.2,"A moderately rated exercise targeting the Abductors using nan. Hip Circles (Prone) is designed to improve strength, flexibility, and endurance."
Reverse-grip bent-over row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-02b-reverse-grip-bent-over-row-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-02b-reverse-grip-bent-over-row-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/middle-back,Back,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.2,"A moderately rated exercise targeting the Middle Back using barbell. Reverse-grip bent-over row is designed to improve strength, flexibility, and endurance."
Back extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-16m-back-extension-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-16m-back-extension-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/lower-back,Back,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.1,"A moderately rated exercise targeting the Lower Back using body only. Back extension is designed to improve strength, flexibility, and endurance."
Close-grip bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82e-close-grip-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82e-close-grip-bench-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.1,"Lie on a bench, grip the barbell wider than shoulder-width, lower it to mid-chest, and press up until arms are extended."
Cocoons,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-170a-cocoon-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-170a-cocoon-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.1,"A moderately rated exercise targeting the Abdominals using body only. Cocoons is designed to improve strength, flexibility, and endurance."
Cross-Body Crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,Abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.1,"A moderately rated exercise targeting the Abdominals using body only. Cross-Body Crunch is designed to improve strength, flexibility, and endurance."
Dumbbell Flyes,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31e-dumbbell-chest-fly-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,"A moderately rated exercise targeting the Chest using dumbbell. Dumbbell Flyes is designed to improve strength, flexibility, and endurance."
Hammer Curls,,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,"A moderately rated exercise targeting the Biceps using dumbbell. Hammer Curls is designed to improve strength, flexibility, and endurance."
Incline dumbbell bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3n-incline-dumbbell-bench-press-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/chest,Chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,"Lie on a bench, grip the barbell wider than shoulder-width, lower it to mid-chest, and press up until arms are extended."
Seated Dumbbell Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,"A moderately rated exercise targeting the Shoulders using dumbbell. Seated Dumbbell Press is designed to improve strength, flexibility, and endurance."
Standing dumbbell shoulder press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,Shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,9.1,"A moderately rated exercise targeting the Shoulders using dumbbell. Standing dumbbell shoulder press is designed to improve strength, flexibility, and endurance."
EZ-Bar Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-46s-standing-ez-bar-curl-m1-crop-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/biceps,Biceps,https://www.bodybuilding.com/exercises/equipment/ez-curl-bar,E-Z Curl Bar,9.1,"A moderately rated exercise targeting the Biceps using e-z curl bar. EZ-Bar Curl is designed to improve strength, flexibility, and endurance."
Olympic Squat,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,Legs,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,9.1,"Stand with feet shoulder-width apart, lower down as if sitting back into a chair, keeping knees over toes. Drive through heels to stand."
Natural Glute Ham Raise,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,Legs,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,9.1,"A moderately rated exercise targeting the Hamstrings using body only. Natural Glute Ham Raise is designed to improve strength, flexibility, and endurance."
