Exercise_Name,Exercise_Video,muscle_gp,equipment_details,Equipment,Description
Jumping rope,https://www.lyfta.app/video/GymvisualMP4/26121201.mp4,"Calves, cardio",Jump rope,Body Only,"A cardiovascular exercise performed by jumping over a rope that passes under the feet with each jump. It improves cardiovascular fitness, coordination, and agility."
Seated barbell shoulder press,https://www.lyfta.app/video/GymvisualMP4/00911201.mp4,"Shoulders, triceps","Barbell, weight plates, bench",Barbell,"An upper body exercise performed by pressing a barbell overhead while seated on a bench with back support. It primarily targets the shoulder muscles (deltoids), enhancing shoulder strength and stability."
EZ-bar spider curl,https://www.lyfta.app/video/GymvisualMP4/16281201.mp4,Biceps,"EZ-bar, preacher bench",Barbell,"An arm exercise performed on a preacher bench with an EZ-bar, curling the barbell towards the forehead while keeping the upper arms stationary. It primarily targets the biceps brachii muscles, promoting upper arm strength and size."
Smith machine shrug,,Traps,Smith machine,Machine,"A trap exercise performed using a leverage machine or a barbell with one end elevated, shrugging the shoulders upward towards the ears to target the trapezius muscles. It improves upper back and neck strength and stability."
Smith Machine Calf Raise,,Calves,Smith machine,Machine,"A calf exercise performed by standing with the balls of the feet on a raised platform and lifting the heels upward as high as possible, then lowering them back down. It targets the calf muscles (gastrocnemius and soleus), improving calf strength and definition."
Romanian Deadlift from Deficit,,"Hamstrings, glutes","Barbell, weight plates, platform",Barbell,"A lower body exercise similar to the Romanian deadlift but performed on an elevated platform to increase the range of motion. It primarily targets the hamstrings and glutes, enhancing hip hinge strength and flexibility."
Power Snatch,https://www.lyfta.app/video/GymvisualMP4/15301201.mp4,"Shoulders, quads, traps","Olympic barbell, weight plates",Barbell,"A weightlifting exercise involving lifting a barbell from the floor to an overhead position in one explosive motion. It targets multiple muscle groups, including the legs, back, shoulders, and arms, improving power, speed, and coordination."
Pushups,https://www.lyfta.app/video/GymvisualMP4/06621201.mp4,"Chest, triceps",No equipment (bodyweight),Body Only,"An upper body exercise performed by lowering and raising the body using the arms while maintaining a plank position. It targets the chest, shoulders, and triceps, improving upper body strength and endurance."
Barbell walking lunge,https://www.lyfta.app/video/GymvisualMP4/24781201.mp4,"Quadriceps, glutes","Barbell, weight plates",Barbell,"A lower body exercise performed by stepping forward with one leg while holding a barbell across the back of the shoulders, then lowering the body until both knees are bent at 90-degree angles, then returning to the starting position and repeating with the other leg. It targets the quadriceps, hamstrings, and glutes, improving lower body strength and stability."
Front Squats With Two Kettlebells,https://www.lyfta.app/video/GymvisualMP4/00421201.mp4,"Quadriceps, core",Kettlebells,Kettlebells,"A lower body exercise performed by holding two kettlebells in front of the shoulders while squatting down until the thighs are parallel to the ground. It primarily targets the quadriceps, hamstrings, and glutes, improving lower body strength and muscle mass."
Spider crawl,https://www.lyfta.app/video/GymvisualMP4/07781201.mp4,"Core, chest",No equipment (bodyweight),Body Only,"A dynamic full-body exercise performed by crawling on the ground with the body in a low plank position, moving opposite hand and foot simultaneously. It engages multiple muscle groups, including the core, shoulders, and legs, improving coordination and mobility."
Power Clean from Blocks,https://www.lyfta.app/video/GymvisualMP4/15281201.mp4,"Shoulders, legs","Olympic barbell, weight plates, blocks",Barbell,"A weightlifting exercise similar to the clean but performed from elevated blocks or platforms to shorten the range of motion. It targets the muscles of the posterior chain and upper body, improving power, speed, and coordination."
Hip Circles ,https://www.lyfta.app/video/GymvisualMP4/42861201.mp4,"Hip flexors, glutes",Resistance bands,Body Only,"A dynamic warm-up exercise performed by rotating the hips in circular motions, both clockwise and counterclockwise, to improve hip mobility and flexibility."
Reverse-grip bent-over row,https://www.lyfta.app/video/GymvisualMP4/01181201.mp4,"Upper back, biceps","Barbell, weight plates",Barbell,"A back exercise performed by bending at the hips with a reverse grip on the barbell and pulling it towards the abdomen while keeping the back straight. It primarily targets the middle back (rhomboids and traps) and biceps, improving upper body strength and muscle mass."
Back extension,https://www.lyfta.app/video/GymvisualMP4/13141201.mp4,Lower back,Back extension bench,Body Only,"A lower back exercise performed on a back extension machine or hyperextension bench by bending forward at the hips and then extending the spine to lift the torso back to a neutral position. It targets the erector spinae muscles, improving lower back strength and stability."
Close-grip bench press,https://www.lyfta.app/video/GymvisualMP4/00301201.mp4,"Triceps, chest","Barbell, weight plates, bench",Barbell,"A chest exercise performed by lying on a bench and pressing a barbell upward with a narrow grip, hands closer than shoulder-width apart. It primarily targets the triceps and inner chest muscles (pectoralis major), improving upper body strength and muscle definition."
Cocoons,https://www.lyfta.app/video/GymvisualMP4/02601201.mp4,Core,No equipment (bodyweight),Body Only,"A core exercise performed by lying on the back and curling the knees towards the chest while lifting the upper body off the ground and reaching the hands towards the knees. It targets the abdominal muscles, particularly the rectus abdominis, improving core strength and stability."
Cross-Body Crunch,https://www.lyfta.app/video/GymvisualMP4/02701201.mp4,Obliques,No equipment (bodyweight),Body Only,"A core exercise performed by lying on the back with knees bent and hands behind the head, then lifting the shoulder blades off the ground and rotating the torso to bring the elbow towards the opposite knee. It targets the obliques and rectus abdominis, improving core strength and definition."
Dumbbell Flyes,https://www.lyfta.app/video/GymvisualMP4/03081201.mp4,Chest,"Dumbbells, bench",Dumbbell,"A chest exercise performed by lying on a bench with dumbbells in hand and arms extended outward, then lowering the dumbbells out to the sides in a controlled motion before returning to the starting position. It targets the chest muscles (pectoralis major), improving chest definition and strength."
Hammer Curls,https://www.lyfta.app/video/GymvisualMP4/03131201.mp4,Biceps,Dumbbells,Dumbbell,"An arm exercise performed by curling dumbbells alternately towards the shoulders with a neutral grip (palms facing each other). It primarily targets the brachialis and brachioradialis muscles, promoting forearm and upper arm strength."
Incline dumbbell bench press,https://www.lyfta.app/video/GymvisualMP4/03141201.mp4,"Upper chest, shoulders","Dumbbells, incline bench",Dumbbell,"A chest exercise performed on an incline bench with dumbbells in hand, pressing them upward until the arms are fully extended, then lowering them back down. It targets the upper chest muscles (pectoralis major) and triceps, improving upper body strength and muscle mass."
Low-cable cross-over,https://www.lyfta.app/video/GymvisualMP4/01791201.mp4,Chest,Cable machine,Cable,"A chest exercise performed by standing between two cable pulleys with handles attached, then crossing the hands over the body while pulling the handles towards each other. It targets the chest muscles (pectoralis major), enhancing chest definition and strength."
Single-arm high-cable side bend,https://www.lyfta.app/video/GymvisualMP4/02221201.mp4,Obliques,Cable machine,Cable,"A core exercise performed by standing sideways to a cable machine with a single handle attached, then bending the torso sideways away from the machine while holding the handle. It targets the obliques, improving core stability and strength."
Seated Dumbbell Press,https://www.lyfta.app/video/GymvisualMP4/04051201.mp4,Shoulders,"Dumbbells, bench",Dumbbell,"An upper body exercise performed by pressing dumbbells overhead while seated on a bench with back support. It primarily targets the shoulder muscles (deltoids), enhancing shoulder strength and stability."
Standing dumbbell shoulder press,https://www.lyfta.app/video/GymvisualMP4/04261201.mp4,Shoulders,Dumbbells,Dumbbell,"An upper body exercise performed by pressing dumbbells overhead while standing. It targets the shoulder muscles (deltoids), improving shoulder strength and stability."
Single Leg Push-off,https://www.lyfta.app/_next/image?url=https%3A%2F%2Flyfta.app%2Fimages%2Fexercises%2F15911101.png&w=1920&q=20,"Glutes, quadriceps",No equipment (bodyweight),Other,"A lower body exercise performed by standing on one leg and pushing off the ground explosively, then landing softly on the same leg. It targets the leg muscles, particularly the quadriceps and glutes, improving lower body strength and balance."
Natural Glute Ham Raise,https://www.lyfta.app/video/GymvisualMP4/44561201.mp4,"Hamstrings, glutes",GHD (Glute Ham Developer) machine,Body Only,"A bodyweight exercise performed on a glute-ham developer (GHD) machine by kneeling with the feet anchored and lowering the torso towards the ground until a stretch is felt in the hamstrings, then raising back up. It primarily targets the hamstrings and glutes, improving lower body strength and stability."
Zottman Curl,https://www.lyfta.app/video/GymvisualMP4/04391201.mp4,"Biceps, brachialis",Dumbbells,Body Only,"An arm exercise performed by curling dumbbells with a supinated grip (palms facing upward) on the way up and a pronated grip (palms facing downward) on the way down. It targets the biceps, brachialis, and forearms, promoting arm strength and definition."
Leverage Shrug,https://www.lyfta.app/video/GymvisualMP4/06041201.mp4,Traps,Leverage machine,Dumbbell,"A trap exercise performed using a leverage machine or a barbell with one end elevated, shrugging the shoulders upward towards the ears. It improves upper back and neck strength and stability."
Cable push-down,https://www.lyfta.app/video/GymvisualMP4/16051201.mp4,Triceps,Cable machine,Dumbbell,"An arm exercise performed on a cable machine by attaching a straight or angled bar to the high pulley and pushing it downward until the arms are fully extended, then returning to the starting position. It primarily targets the triceps muscles, promoting arm strength and definition."
Incline dumbbell reverse fly,https://www.lyfta.app/video/GymvisualMP4/03831201.mp4,"Upper back, rear deltoids","Dumbbells, incline bench",Dumbbell,"A chest exercise performed on an incline bench with dumbbells in hand, raising them out to the sides in a controlled motion until they reach shoulder level, then lowering them back down. It targets the rear deltoids and upper back muscles, improving shoulder stability and definition."
Stair climber,https://www.lyfta.app/video/GymvisualMP4/30091201.mp4,"Quadriceps, glutes",Stair climber machine,E-Z Curl Bar,"A cardiovascular exercise performed on a stair climbing machine or actual stairs by stepping up and down repeatedly. It improves cardiovascular fitness, lower body strength, and endurance."
Dumbbell front raise,https://www.lyfta.app/video/GymvisualMP4/39131201.mp4,Shoulders,Dumbbells,Other,"A shoulder exercise performed by lifting dumbbells from thigh level to shoulder level in front of the body. It targets the front deltoids, enhancing shoulder strength and definition."
Forward lunge,https://www.lyfta.app/video/GymvisualMP4/34701201.mp4,"Quadriceps, glutes","Dumbbells (optional), bodyweight",Dumbbell,"A lower body exercise performed by stepping forward with one leg and lowering the body until both knees are bent at 90-degree angles, then returning to the starting position and repeating with the other leg. It targets the quadriceps, hamstrings, and glutes, improving lower body strength and stability."
Hanging toes-to-bar,https://www.lyfta.app/video/GymvisualMP4/38911201.mp4,"Core, hip flexors",Pull-up bar,Other,"A core exercise performed by hanging from a pull-up bar and raising the legs upward until the toes touch the bar, then lowering them back down. It targets the abdominal muscles, particularly the lower abs, improving core strength and stability."
Standing Calf Raises,https://www.lyfta.app/video/GymvisualMP4/04171201.mp4,Calves,Calf raise machine or bodyweight,Other,"A calf exercise performed by standing with the balls of the feet on a raised platform and lifting the heels upward as high as possible, then lowering them back down. It targets the calf muscles (gastrocnemius and soleus), improving calf strength and definition."
Incline cable chest fly,https://www.lyfta.app/video/GymvisualMP4/01691201.mp4,Chest,"Cable machine, incline bench",Machine,"A chest exercise performed on an incline bench with cable pulleys attached, holding handles in each hand and bringing them together in a wide arc in front of the chest. It primarily targets the chest muscles (pectoralis major), enhancing chest definition and strength."
Hip extension,https://www.lyfta.app/video/GymvisualMP4/09221201.mp4,"Glutes, hamstrings",No equipment (bodyweight) or back extension bench,Body Only,"A lower body exercise performed on a machine or with bodyweight, involving extending the hips against resistance to target the glutes and hamstrings. It improves hip strength and stability."
Kneeling cable triceps extension,https://www.lyfta.app/video/GymvisualMP4/18591201.mp4,Triceps,Cable machine,Other,"An arm exercise performed on a cable machine with a rope or bar attachment by kneeling and extending the arms downward until they are fully extended, then returning to the starting position. It primarily targets the triceps muscles, promoting arm strength and definition."
Bicycling,https://www.lyfta.app/video/GymvisualMP4/22641201.mp4,"Quadriceps, hamstrings",Bicycle,Barbell,"A cardiovascular exercise performed by riding a stationary or outdoor bicycle. It improves cardiovascular fitness, leg strength, and endurance."
Arnold press,https://www.lyfta.app/video/GymvisualMP4/02871201.mp4,Shoulders,"Dumbbells, bench",Dumbbell,"An upper body exercise performed by pressing dumbbells overhead while rotating the palms from a neutral grip (facing inward) to a pronated grip (facing outward) during the movement. It targets the shoulder muscles (deltoids), improving shoulder strength and stability."
Exercise Ball Pull-In,https://www.lyfta.app/video/GymvisualMP4/06501201.mp4,"Core, hip flexors",Exercise ball,Body Only,"A core exercise performed by starting in a plank position with the feet on an exercise ball and pulling the knees towards the chest while keeping the hips elevated, then returning to the starting position. It targets the abdominal muscles, particularly the lower abs, improving core strength and stability."
Smith machine shoulder press,https://www.lyfta.app/video/GymvisualMP4/07661201.mp4,Shoulders,Smith machine,Barbell,"An upper body exercise performed by pressing a barbell attached to a Smith machine overhead while standing. It primarily targets the shoulder muscles (deltoids), enhancing shoulder strength and stability."
Seated triceps press,https://www.lyfta.app/video/GymvisualMP4/21881201.mp4,Triceps,"Dumbbells, bench",Barbell,"An arm exercise performed on a seated machine or bench with an overhead cable attachment by pressing the hands upward until the arms are fully extended, then returning to the starting position. It primarily targets the triceps muscles, promoting arm strength and definition."
Pull-up,https://www.lyfta.app/video/GymvisualMP4/06521201.mp4,"Lats, upper back",Pull-up bar,Body Only,"A chest exercise performed by lying on a bench and pressing a barbell upward with a wide grip, hands placed wider than shoulder-width apart. It primarily targets the chest muscles (pectoralis major) and triceps, improving upper body strength and muscle mass."
Wide-grip bench press,https://lyfta.app/images/exercises/12581101.png,Chest,"Barbell, weight plates, bench",Cable,"An advanced upper body exercise performed on gymnastic rings or a pull-up bar, involving pulling the body upward and transitioning into a dip position above the bar. It targets the back, chest, shoulders, and arms, improving upper body strength and coordination."
Muscle Up,https://www.lyfta.app/video/GymvisualMP4/06311201.mp4,"Lats, chest, triceps",Pull-up bar or rings,Other,"A chest exercise performed on a decline bench with a barbell, pressing it upward until the arms are fully extended, then lowering it back down. It primarily targets the lower chest muscles (pectoralis major) and triceps, improving chest strength and definition."
Decline Barbell Bench Press,https://www.lyfta.app/_next/image?url=https%3A%2F%2Flyfta.app%2Fimages%2Fexercises%2F00361101.png&w=1920&q=20,Lower chest,"Barbell, decline bench",Exercise Ball,"A cardiovascular exercise performed on a rowing machine by sitting on a sliding seat and pulling a handlebar attached to a resistance mechanism towards the body in a rowing motion. It improves cardiovascular fitness, upper body strength, and endurance."
Rower,https://www.lyfta.app/video/GymvisualMP4/11611201.mp4,"Back, legs, arms",Rowing machine,Body Only,"A lower body exercise performed on a leg curl machine by lying face down and curling the legs upward towards the buttocks against resistance. It primarily targets the hamstrings, improving leg strength and muscle definition."
Lying Leg Curls,https://www.lyfta.app/video/GymvisualMP4/05861201.mp4,Hamstrings,Leg curl machine,Dumbbell,"A core exercise performed by kneeling on the ground and rolling an ab roller wheel forward until the body is fully extended, then rolling it back towards the knees. It targets the abdominal muscles, particularly the rectus abdominis, improving core strength and stability."
Ab Roller,https://lyfta.app/images/exercises/01031101.png,Core,Ab wheel,Barbell,"A lower body exercise performed on a leg press machine by pushing a weighted platform away from the body using the legs. It primarily targets the quadriceps, hamstrings, and glutes, improving lower body strength and muscle mass."
Leg Press,https://www.lyfta.app/video/GymvisualMP4/15751201.mp4,"Quadriceps, glutes",Leg press machine,Cables,"A chest exercise performed on a cable machine by standing in the middle and pulling the handles from low to high in a wide arc motion in front of the body. It targets the chest muscles (pectoralis major), enhancing chest definition and strength."
Cable Crossover,https://www.lyfta.app/video/GymvisualMP4/01541201.mp40.jpg,Chest,Cable machine,Machine,"A chest exercise performed on an incline bench with a barbell, pressing it upward with a medium grip until the arms are fully extended, then lowering it back down. It primarily targets the upper chest muscles (pectoralis major) and triceps, improving chest strength and definition."
Barbell Incline Bench Press Medium-Grip,https://www.lyfta.app/video/GymvisualMP4/00471201.mp4,Upper chest,"Barbell, incline bench",Dumbbell,"A chest exercise performed on an incline bench with dumbbells in hand, raising them out to the sides in a controlled motion until they reach shoulder level, then lowering them back down. It primarily targets the upper chest muscles (pectoralis major) and shoulders, improving chest definition and strength."
Incline Dumbbell Flyes,https://www.lyfta.app/video/GymvisualMP4/25001201.mp4,Chest,"Dumbbells, incline bench",Body Only," A chest exercise performed on an incline bench with dumbbells in hand, raising them out to the sides in a controlled motion until they reach shoulder level, then lowering them back down. It primarily targets the chest muscles (pectoralis major), enhancing chest definition and strength."
Seated Cable Rows,https://www.lyfta.app/video/GymvisualMP4/08611201.mp4,"Back, lats",Cable machine,Barbell,"A back exercise performed on a cable machine while seated, pulling a handle towards the torso while keeping the back straight. It targets the middle back (rhomboids and traps) and biceps, improving upper body strength and muscle mass."
Preacher Curl,https://www.lyfta.app/video/GymvisualMP4/04021201.mp4,Biceps,"Preacher bench, barbell or EZ-bar",Dumbbell,"An arm exercise performed on a preacher bench with an EZ-bar or dumbbells, curling the weight towards the forehead while keeping the upper arms stationary. It primarily targets the biceps brachii muscles, promoting upper arm strength and size."
Reverse crunch,https://www.lyfta.app/video/GymvisualMP4/08721201.mp4,Lower abs,No equipment (bodyweight) or mat,Cable,"A core exercise performed by lying on the back and curling the knees towards the chest while lifting the hips off the ground, then lowering them back down. It targets the lower abdominals and improves core strength and stability."
Elliptical trainer,https://www.lyfta.app/video/GymvisualMP4/21411201.mp4,"Legs, cardio",Elliptical machine,Dumbbell," A cardiovascular exercise performed on an elliptical machine by simulating walking, running, or climbing motions. It provides low-impact cardiovascular benefits and engages the lower body muscles."
Single-leg glute bridge,https://www.lyfta.app/video/GymvisualMP4/24731201.mp4,Glutes,No equipment (bodyweight),Dumbbell," A lower body exercise performed by lying on the back with one foot flat on the ground and the other leg extended, then lifting the hips towards the ceiling by contracting the glutes and hamstrings. It primarily targets the glutes and improves hip stability and strength."
Clam,https://www.lyfta.app/video/GymvisualMP4/21501201.mp4,Hip abductors,No equipment (bodyweight) or resistance band,Other,"A hip exercise performed lying on one side with knees bent, then lifting the top knee upward while keeping the feet together. It targets the hip abductor muscles, improving hip stability and preventing injury."
Drop Push,https://lyfta.app/images/exercises/12751101.png,"Chest, triceps",No equipment (bodyweight),Body Only,"A plyometric exercise performed by starting in a push-up position, lowering the chest towards the ground, then explosively pushing off the ground to lift the hands and feet off momentarily before returning to the starting position. It targets the chest, shoulders, and triceps, improving upper body power and explosiveness."
Incline Push-Up,https://www.lyfta.app/video/GymvisualMP4/04931201.mp4,"Upper chest, shoulders","No equipment (bodyweight), incline platform",Cable,"A chest exercise performed with the hands elevated on an incline surface, such as a bench or step, while maintaining a straight body position and lowering the chest towards the surface before pushing back up. It targets the chest, shoulders, and triceps, providing a variation to traditional push-ups."
